NDB_No,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),Category
10870,"PORK,CURED,HAM & H2O PRODUCT,SLICE,BNLESS,LN,HTD,PAN-BROIL",71.2,123,15.09,5.06,4.69,0.0,4.69,8.0,0.74,17.0,240.0,272.0,1390.0,1.64,0.085,1.528,2.125,0.69,45.0,Pork Products
10921,"PORK,CURED,HAM & H2O PRDCT,SLICE,BNLESS,LN & FAT,HTD,PAN-BRL",71.14,124,15.08,5.13,4.69,0.0,4.69,8.0,0.74,17.0,240.0,272.0,1389.0,1.63,0.085,1.553,2.16,0.699,45.0,Pork Products
10852,"HORMEL ALWAYS TENDER,PORK TENDERLOIN,TERIYAKI-FLAVORED",71.9,119,18.2,3.07,4.63,0.7,3.33,7.0,1.0,22.0,145.0,536.0,413.0,1.5,0.1,1.05,1.26,0.6,46.0,Pork Products
10871,"PORK,CURED,HAM & H2O PRODUCT,WHL,BNLESS,LN,HTD,RSTD",72.11,123,13.88,5.46,4.61,0.0,4.61,8.0,0.74,15.0,224.0,245.0,1335.0,1.64,0.095,1.841,2.458,0.851,43.0,Pork Products
10922,"PORK,CURED,HAM & H2O PRODUCT,WHL,BNLESS,LN & FAT,HTD,RSTD",72.11,123,13.88,5.46,4.61,0.0,4.61,8.0,0.74,15.0,224.0,245.0,1335.0,1.64,0.095,1.841,2.458,0.851,43.0,Pork Products
10872,"PORK,CURED,HAM & H2O PRODUCT,WHL,BNLESS,LN,UNHTD",73.05,116,14.07,4.86,4.22,0.0,4.22,8.0,0.78,17.0,229.0,268.0,1310.0,1.6,0.107,1.447,2.041,0.644,43.0,Pork Products
10905,"PORK,CURED,HAM & H2O PRODUCT,WHL,BNLESS,LN & FAT,UNHTD",72.96,117,14.05,4.99,4.21,0.0,4.21,8.0,0.78,17.0,228.0,267.0,1308.0,1.59,0.107,1.489,2.098,0.66,43.0,Pork Products
10111,"PORK,FRSH,VAR MEATS&BY-PRODUCTS,LIVER,CKD,BRSD",64.32,165,26.02,4.4,3.76,0.0,1.84,10.0,17.92,14.0,241.0,150.0,49.0,6.72,0.634,1.41,0.63,1.05,355.0,Pork Products
10888,"PORK,CURED,HAM & H2O PRODUCT,SLICE,BONE-IN,LN,UNHTD",75.54,103,14.47,3.78,2.82,0.0,0.91,9.0,1.5,14.0,222.0,209.0,1160.0,1.66,0.137,1.266,1.73,0.538,49.0,Pork Products
10906,"PORK,CURED,HAM & H2O PRODUCT,SLICE,BONE-IN,LN & FAT,UNHTD",71.07,149,13.69,9.29,2.72,0.0,0.85,8.0,1.39,14.0,213.0,205.0,1099.0,1.6,0.132,3.076,4.212,1.25,50.0,Pork Products
